Company,Market Share Gaming GPU (%),Market Share Data Center GPU (%),Annual Revenue (Billion USD),Product Lines,Performance Gaming (1-10),Performance AI/Compute (1-10),Power Efficiency (1-10),Innovation Focus,Target Markets,Strengths,Weaknesses,Recent Major Development
Texas Instruments,126.9,46.17,21.61,"DSP, TMS320",1,5,4,Blockchain Security,"Data Center, Automotive, Education, Media & Entertainment",Advanced AI capabilities,Inconsistent performance,Debuted multi-GPU scaling tech
Google,87.3,4.32,25.11,"TPU, Tensor",9,3,4,Quantum Computing,"Education, Financial Services, Media & Entertainment",Innovative R&D,Inconsistent performance,Released latest mobile GPU
AMD,20.92,18.13,3.46,"Instinct, Vega, FirePro",1,8,4,Neural Networks,"Education, Cloud",Competitive pricing,Narrow product range,Enhanced power efficiency technologies
Sony,47.58,44.11,24.19,PlayStation GPU,5,2,6,Neural Networks,Enterprise,High power efficiency,Narrow product range,Partnered with automotive leaders
Qualcomm,9.26,1.25,24.72,Kryo,5,6,1,Quantum Computing,"Media & Entertainment, Healthcare",Advanced AI capabilities,High power consumption,Launched new RTX 40 series
ARM,43.94,2.84,22.82,"Neoverse, Mali",10,9,4,Multi-GPU Scaling,"Gaming, Telecommunications, Enterprise, Financial Services",Wide product portfolio,Supply chain constraints,Introduced AI-focused GPUs
Sony,83.18,42.73,31.48,"PlayStation GPU, Imagination GPU",6,10,2,High Performance Computing,"Gaming, Telecommunications, Defense, Financial Services",Strong brand recognition,Supply chain constraints,Expanded cloud gaming services
Micron,121.32,14.48,3.63,"HBM Memory, GDDR",7,1,10,VR/AR,"Financial Services, Gaming",Scalable architectures,Late to market in some segments,Announced new AI research lab
IBM,27.54,57.51,37.85,Z Series,9,9,1,5G Integration,"AI/Compute, Cloud, Mobile",Innovative R&D,Narrow product range,Announced new AI research lab
NXP Semiconductors,67.26,52.08,31.54,"Layerscape, i.MX GPU",4,4,1,Low Latency Streaming,"Media & Entertainment, Education, Financial Services, Telecommunications",High power efficiency,Limited mobile presence,Introduced AI-focused GPUs
Analog Devices,28.1,40.39,0.95,"SHARC, Blackfin",7,2,9,Mobile Graphics,"Mobile, Enterprise, Automotive, Data Center",Strong developer ecosystem,Smaller developer base,Enhanced power efficiency technologies
Google,79.96,55.79,15.49,"TPU, Tensor, Coral Edge TPU",7,3,3,Deep Learning,"Education, Data Center",Global market presence,Inconsistent performance,Announced new AI research lab
MediaTek,119.46,7.46,11.18,"Dimensity, Mali GPU",8,3,10,High Performance Computing,"Cloud, Education, Financial Services",Strong partnerships,Narrow product range,Debuted multi-GPU scaling tech
MediaTek,128.62,59.25,37.72,"Mali GPU, Dimensity",7,8,8,Mobile Graphics,"Consumer Electronics, IoT, Defense",Advanced AI capabilities,Inconsistent performance,Launched new RTX 40 series
MediaTek,116.18,54.36,16.77,Dimensity,6,4,5,AI Acceleration,Healthcare,Leading performance,Smaller developer base,Expanded cloud gaming services
ASRock,85.74,7.74,10.85,Phantom Gaming,4,2,2,Multi-GPU Scaling,"Media & Entertainment, Defense",Global market presence,Software compatibility issues,Upgraded software development kits
Sony,78.2,72.73,33.78,"PlayStation GPU, Imagination GPU",8,8,7,AI Acceleration,Data Center,Cutting-edge technology,Late to market in some segments,Enhanced power efficiency technologies
Xilinx,105.28,67.99,12.05,"Alveo, Versal",5,5,5,VR/AR,"Education, Data Center",Advanced AI capabilities,Smaller developer base,Integrated 5G with GPUs
IBM,87.56,60.67,11.35,"PowerAI, Z Series, Watson GPU",1,2,8,Neural Networks,"Automotive, Enterprise, Defense",Scalable architectures,Late to market in some segments,Acquired Mellanox
Qualcomm,49.22,42.29,32.59,Adreno,5,1,8,Deep Learning,"Defense, IoT, Media & Entertainment",Strong partnerships,Limited AI focus,Enhanced power efficiency technologies
ASRock,84.3,33.61,16.74,"X570 GPU, Phantom Gaming",1,3,4,Blockchain Security,"Cloud, Automotive",Advanced AI capabilities,Late to market in some segments,Announced new AI research lab
Samsung,51.34,74.1,17.36,RDNA,3,5,4,Quantum Computing,"Defense, Data Center, Enterprise",Robust software support,Late to market in some segments,Released VR-optimized hardware
ASRock,142.8,39.51,34.45,"Phantom Gaming, X570 GPU",6,3,5,Neural Networks,Gaming,Innovative R&D,Security vulnerabilities,Released latest mobile GPU
Nvidia,121.1,21.46,28.23,"Tesla, DGX, Jetson",1,4,3,FPGA Optimization,"Consumer Electronics, Healthcare, Media & Entertainment, Financial Services",Advanced AI capabilities,Limited AI focus,Launched new RTX 40 series
Qualcomm,56.06,74.65,38.96,"Snapdragon GPU, Adreno, Kryo",7,10,9,VR/AR,"Education, Gaming, Defense",Diverse product applications,Complex integration,Integrated 5G with GPUs
NXP Semiconductors,40.3,42.92,4.88,i.MX GPU,5,9,4,Neural Networks,"IoT, Media & Entertainment, Defense",Strong brand recognition,Narrow product range,Debuted multi-GPU scaling tech
ASRock,10.14,55.44,28.07,"Phantom Gaming, X570 GPU",4,7,10,Quantum Computing,"Enterprise, Automotive, AI/Compute, Media & Entertainment",Innovative R&D,Limited AI focus,Debuted multi-GPU scaling tech
Marvell,110.74,43.55,1.26,"OCTEON, Alaska",8,2,6,Deep Learning,"AI/Compute, Telecommunications",Strong developer ecosystem,Limited mobile presence,Integrated 5G with GPUs
AMD,62.18,16.79,6.16,"Radeon, Vega, Ryzen Graphics",9,8,2,Deep Learning,"Cloud, Consumer Electronics",Scalable architectures,Narrow product range,Released VR-optimized hardware
Huawei,114.94,23.03,19.66,Ascend AI,5,3,2,Energy Efficiency,"Defense, Telecommunications",Cutting-edge technology,Software compatibility issues,Introduced AI-focused GPUs
Analog Devices,84.86,58.55,1.2,"SHARC, Blackfin",1,9,8,Multi-GPU Scaling,"Mobile, Media & Entertainment",Leading performance,Security vulnerabilities,Acquired Mellanox
Sony,49.4,58.66,12.27,"PlayStation GPU, Imagination GPU",3,7,8,Energy Efficiency,"Enterprise, Gaming, Healthcare, Data Center",Competitive pricing,Complex integration,Enhanced power efficiency technologies
ASRock,100.44,69.66,12.37,"Phantom Gaming, X570 GPU",6,3,9,Low Latency Streaming,"Data Center, Media & Entertainment, Healthcare, Enterprise",Diverse product applications,Limited AI focus,Expanded cloud gaming services
Xilinx,86.44,43.78,23.69,"Alveo, Versal",5,6,2,Deep Learning,"Media & Entertainment, Education, Cloud, Financial Services",Robust software support,Limited AI focus,Announced new AI research lab
Xilinx,42.82,9.96,19.0,Versal,3,1,8,High Performance Computing,"Mobile, Enterprise, Financial Services, Media & Entertainment",Global market presence,Narrow product range,Expanded cloud gaming services
ARM,148.06,54.8,32.12,"Neoverse, Mali, Ethos",6,5,10,Autonomous Vehicles,"Automotive, Mobile",Wide product portfolio,Software compatibility issues,Enhanced power efficiency technologies
AMD,47.58,69.25,18.68,"FirePro, Ryzen Graphics",8,6,2,FPGA Optimization,"Data Center, Consumer Electronics, Telecommunications",High power efficiency,Software compatibility issues,Debuted multi-GPU scaling tech
ARM,91.32,15.47,8.32,"Mali, Ethos",6,5,8,Low Latency Streaming,"Defense, Cloud",Leading performance,Smaller developer base,Upgraded software development kits
Micron,64.44,59.44,16.87,"GDDR, HBM Memory",1,10,6,Autonomous Vehicles,"Cloud, Healthcare",Cutting-edge technology,Inconsistent performance,Expanded cloud gaming services
Texas Instruments,13.38,65.11,21.91,"TMS320, DSP",5,9,6,Blockchain Security,"Mobile, Data Center, Media & Entertainment",Cutting-edge technology,Inconsistent performance,Debuted multi-GPU scaling tech
Huawei,3.78,12.8,8.7,"Ascend AI, Kirin GPU",3,8,4,Deep Learning,"Gaming, Automotive, Data Center",High power efficiency,Complex integration,Expanded cloud gaming services
Qualcomm,11.1,63.12,27.11,"Adreno, Snapdragon GPU",5,3,3,High Performance Computing,"Automotive, IoT",Competitive pricing,Narrow product range,Introduced AI-focused GPUs
MediaTek,28.1,13.96,20.19,"Dimensity, Mali GPU",10,3,2,Mobile Graphics,"Automotive, Financial Services",Strong brand recognition,Late to market in some segments,Upgraded software development kits
Google,126.76,37.41,33.14,"TPU, Coral Edge TPU",7,8,10,AI Acceleration,"Gaming, Healthcare, Financial Services, Mobile",Strong developer ecosystem,Software compatibility issues,Debuted multi-GPU scaling tech
Intel,93.82,58.42,12.24,Xe,3,8,7,Neural Networks,"Data Center, Enterprise, AI/Compute, Consumer Electronics",Strong brand recognition,Software compatibility issues,Debuted multi-GPU scaling tech
NXP Semiconductors,135.62,14.52,4.79,"i.MX GPU, Layerscape",2,8,6,Quantum Computing,Gaming,Strong partnerships,Security vulnerabilities,Expanded cloud gaming services
Broadcom,150.98,70.24,19.18,VideoCore,1,5,3,Mobile Graphics,Telecommunications,Strong partnerships,Late to market in some segments,Upgraded software development kits
Nvidia,59.82,42.07,22.53,Shield,7,2,1,Multi-GPU Scaling,Media & Entertainment,Strong partnerships,Limited mobile presence,Introduced AI-focused GPUs
NXP Semiconductors,150.64,41.92,9.21,Layerscape,5,10,10,5G Integration,Media & Entertainment,Advanced AI capabilities,Smaller developer base,Released latest mobile GPU
Analog Devices,29.76,32.38,25.23,"Blackfin, SHARC",7,3,8,Autonomous Vehicles,"Mobile, Defense, Data Center",Wide product portfolio,Inconsistent performance,Partnered with automotive leaders
Huawei,108.52,70.25,11.66,"Ascend AI, Kirin GPU",8,4,1,Neural Networks,"Consumer Electronics, Cloud, IoT",Wide product portfolio,Limited mobile presence,Released VR-optimized hardware
Sony,80.26,64.37,24.26,"PlayStation GPU, Imagination GPU",8,9,1,Neural Networks,"Automotive, IoT, AI/Compute, Cloud",Global market presence,Late to market in some segments,Debuted multi-GPU scaling tech
Nvidia,84.8,30.77,24.08,"GeForce, RTX, Quadro",3,10,5,Autonomous Vehicles,"Financial Services, Education, Telecommunications",Robust software support,Narrow product range,Released VR-optimized hardware
Xilinx,94.92,5.76,37.14,Versal,7,5,4,Quantum Computing,"Financial Services, AI/Compute, Enterprise",Competitive pricing,Supply chain constraints,Upgraded software development kits
Xilinx,88.98,29.71,29.78,Versal,3,7,4,Cloud Gaming,"AI/Compute, Consumer Electronics, Financial Services",Competitive pricing,Smaller developer base,Enhanced power efficiency technologies
ASRock,133.84,71.65,33.51,"Phantom Gaming, X570 GPU",8,8,8,High Performance Computing,"Media & Entertainment, Education, IoT, Defense",High power efficiency,High power consumption,Released VR-optimized hardware
MediaTek,147.54,70.11,18.99,"Dimensity, Mali GPU",4,2,1,FPGA Optimization,Education,Advanced AI capabilities,Limited mobile presence,Released VR-optimized hardware
Qualcomm,109.2,26.8,4.18,Snapdragon GPU,7,7,4,FPGA Optimization,"Consumer Electronics, Healthcare, Automotive",Robust software support,Smaller developer base,Enhanced power efficiency technologies
Google,131.66,0.7,36.87,"TPU, Coral Edge TPU",7,9,3,Multi-GPU Scaling,Telecommunications,Wide product portfolio,Limited AI focus,Integrated 5G with GPUs
ARM,77.46,45.75,5.58,Neoverse,9,9,8,Multi-GPU Scaling,Cloud,Scalable architectures,Limited AI focus,Released latest mobile GPU
Xilinx,117.72,46.3,15.06,"Versal, Alveo",6,4,8,Ray Tracing,"Cloud, Gaming",Scalable architectures,Supply chain constraints,Enhanced power efficiency technologies
Qualcomm,25.52,55.61,4.08,"Adreno, Kryo",3,7,8,High Performance Computing,Mobile,Cutting-edge technology,High power consumption,Enhanced power efficiency technologies
Xilinx,110.02,20.12,6.93,Versal,2,3,2,Blockchain Security,Data Center,Competitive pricing,Late to market in some segments,Announced new AI research lab
MediaTek,73.42,52.26,38.15,"Dimensity, Mali GPU",3,9,3,Deep Learning,"AI/Compute, Defense, Cloud, Consumer Electronics",Robust software support,Limited mobile presence,Launched new RTX 40 series
AMD,32.36,67.18,36.08,"FirePro, Instinct, Radeon",9,9,9,Ray Tracing,"Data Center, Mobile",Wide product portfolio,Software compatibility issues,Expanded cloud gaming services
Nvidia,139.5,53.3,25.39,"DGX, Shield, TITAN",10,9,5,Neural Networks,"Mobile, IoT, Financial Services",Leading performance,Security vulnerabilities,Expanded cloud gaming services
Broadcom,125.2,63.11,38.69,"VideoCore, StrataDNX",10,7,1,FPGA Optimization,"Gaming, Financial Services, Mobile, IoT",Strong developer ecosystem,Limited mobile presence,Announced new AI research lab
Qualcomm,3.32,42.36,36.49,"Kryo, Snapdragon GPU",1,8,5,5G Integration,"Consumer Electronics, Education, Media & Entertainment, Data Center",Competitive pricing,Supply chain constraints,Announced new AI research lab
Huawei,78.74,8.69,20.39,Ascend AI,7,2,2,Autonomous Vehicles,"Financial Services, AI/Compute",Scalable architectures,Smaller developer base,Partnered with automotive leaders
MediaTek,93.3,7.2,31.53,Mali GPU,2,2,10,AI Acceleration,"IoT, Enterprise, Cloud",Wide product portfolio,Smaller developer base,Introduced AI-focused GPUs
Xilinx,117.22,47.69,7.62,"Versal, Alveo",9,6,1,Mobile Graphics,IoT,Robust software support,Security vulnerabilities,Announced new AI research lab
Marvell,116.66,17.21,6.54,"Alaska, OCTEON",10,2,8,AI Acceleration,Education,Strong partnerships,Complex integration,Debuted multi-GPU scaling tech
Nvidia,39.6,15.84,31.76,TITAN,5,10,3,5G Integration,"Media & Entertainment, IoT, Education, Financial Services",Robust software support,Software compatibility issues,Released latest mobile GPU
Huawei,169.62,61.93,5.66,"Kirin GPU, Ascend AI",1,3,3,Mobile Graphics,Automotive,Scalable architectures,Complex integration,Introduced AI-focused GPUs
NXP Semiconductors,4.5,68.97,3.34,"Layerscape, i.MX GPU",9,10,8,Energy Efficiency,"Gaming, Mobile",Scalable architectures,Smaller developer base,Upgraded software development kits
Broadcom,156.18,7.24,9.93,"VideoCore, StrataDNX",1,3,3,Multi-GPU Scaling,"Education, Healthcare",Leading performance,Late to market in some segments,Partnered with automotive leaders
AMD,63.16,52.11,18.57,"Vega, Ryzen Graphics",4,3,5,Multi-GPU Scaling,"Financial Services, Consumer Electronics, Defense",Leading performance,High prices,Upgraded software development kits
NXP Semiconductors,131.98,37.82,18.81,"i.MX GPU, Layerscape",2,8,8,Mobile Graphics,"Mobile, Data Center",Competitive pricing,Complex integration,Released latest mobile GPU
Apple,104.9,18.07,31.91,A15 GPU,9,7,10,High Performance Computing,"Gaming, Enterprise, Healthcare",Leading performance,Complex integration,Released latest mobile GPU
IBM,121.12,11.27,31.92,"PowerAI, Watson GPU, Z Series",6,4,6,Blockchain Security,"Enterprise, AI/Compute",Strong brand recognition,High prices,Debuted multi-GPU scaling tech
Broadcom,11.88,16.81,3.74,"VideoCore, Tomahawk",8,8,7,Mobile Graphics,Mobile,Advanced AI capabilities,Complex integration,Debuted multi-GPU scaling tech
Analog Devices,107.74,28.91,33.4,"Blackfin, SHARC",3,5,5,Multi-GPU Scaling,Financial Services,Competitive pricing,Supply chain constraints,Expanded cloud gaming services
Apple,141.36,60.34,0.92,"M1 GPU, A15 GPU, A14 GPU",10,5,10,Multi-GPU Scaling,"Healthcare, Data Center, Media & Entertainment, Gaming",Cutting-edge technology,Late to market in some segments,Expanded cloud gaming services
Huawei,117.0,57.33,1.51,Ascend AI,1,8,9,Cloud Gaming,"Gaming, Media & Entertainment, Consumer Electronics",Competitive pricing,Smaller developer base,Acquired Mellanox
MediaTek,61.88,45.45,21.19,Dimensity,4,9,3,5G Integration,"Mobile, Automotive",Global market presence,Supply chain constraints,Released VR-optimized hardware
MediaTek,45.82,70.3,16.44,Dimensity,6,7,10,Multi-GPU Scaling,Enterprise,Wide product portfolio,Software compatibility issues,Released latest mobile GPU
Xilinx,86.18,40.77,22.74,"Alveo, Versal",1,10,8,Deep Learning,"Financial Services, AI/Compute, Automotive",Competitive pricing,Smaller developer base,Released VR-optimized hardware
Apple,68.32,50.37,6.57,M2 GPU,4,10,6,Blockchain Security,"AI/Compute, Enterprise, IoT, Defense",Leading performance,Limited AI focus,Acquired Mellanox
Xilinx,55.4,5.6,33.54,Alveo,2,5,9,Edge Computing,"Media & Entertainment, Mobile, Education, Consumer Electronics",Cutting-edge technology,Inconsistent performance,Debuted multi-GPU scaling tech
Sony,102.42,38.27,6.09,"PlayStation GPU, Imagination GPU",5,4,4,Cloud Gaming,"Automotive, Telecommunications",Cutting-edge technology,High power consumption,Integrated 5G with GPUs
Xilinx,10.96,67.19,27.61,"Versal, Alveo",3,10,5,FPGA Optimization,"Defense, Financial Services, Gaming, Data Center",Innovative R&D,Limited AI focus,Acquired Mellanox
ARM,142.86,11.94,18.99,"Mali, Neoverse",7,1,1,VR/AR,"Healthcare, Financial Services",Global market presence,Smaller developer base,Partnered with automotive leaders
ASRock,92.24,68.09,3.6,"Phantom Gaming, X570 GPU",2,3,2,VR/AR,Defense,Scalable architectures,Security vulnerabilities,Integrated 5G with GPUs
MediaTek,16.7,6.28,19.74,Mali GPU,8,7,2,Neural Networks,"Telecommunications, Financial Services, Mobile",Strong developer ecosystem,Complex integration,Acquired Mellanox
NXP Semiconductors,114.66,35.62,26.06,Layerscape,8,2,9,High Performance Computing,"Enterprise, Defense, Education",Leading performance,High prices,Introduced AI-focused GPUs
Xilinx,153.96,27.11,38.49,Alveo,5,10,7,Quantum Computing,Data Center,Advanced AI capabilities,Inconsistent performance,Integrated 5G with GPUs
Broadcom,21.52,14.77,25.69,"Tomahawk, VideoCore, StrataDNX",8,7,4,Neural Networks,"Education, Healthcare, Media & Entertainment",Global market presence,Late to market in some segments,Acquired Mellanox
Google,42.24,3.04,27.31,Coral Edge TPU,7,7,6,Energy Efficiency,"Media & Entertainment, Automotive, AI/Compute, Data Center",Cutting-edge technology,Smaller developer base,Released latest mobile GPU
Xilinx,93.52,16.63,21.16,"Versal, Alveo",5,10,2,Multi-GPU Scaling,"Automotive, Gaming, Data Center",Strong developer ecosystem,Late to market in some segments,Expanded cloud gaming services
ARM,165.14,12.96,23.08,"Neoverse, Mali, Ethos",7,3,4,Cloud Gaming,"Automotive, Media & Entertainment, Mobile",Wide product portfolio,Narrow product range,Acquired Mellanox
AMD,97.92,40.51,11.71,"Radeon, Instinct, Ryzen Graphics",9,7,1,Multi-GPU Scaling,"Mobile, Healthcare, Data Center",Advanced AI capabilities,Limited mobile presence,Introduced AI-focused GPUs
Xilinx,145.0,54.6,34.16,"Alveo, Versal",8,8,1,AI Acceleration,Consumer Electronics,Diverse product applications,Narrow product range,Announced new AI research lab
Nvidia,99.16,57.08,31.48,"Quadro, TITAN, GeForce",9,6,6,Edge Computing,"Defense, Data Center",Cutting-edge technology,High power consumption,Released VR-optimized hardware
Google,117.22,26.68,6.99,"TPU, Coral Edge TPU, Tensor",10,10,4,Edge Computing,Financial Services,Strong partnerships,Limited mobile presence,Released latest mobile GPU
Intel,33.24,6.46,7.37,Optane,10,8,9,Neural Networks,"IoT, Cloud, Telecommunications, Mobile",Diverse product applications,High power consumption,Expanded cloud gaming services
MediaTek,78.52,5.77,2.17,Dimensity,2,2,5,Energy Efficiency,Defense,Advanced AI capabilities,Complex integration,Integrated 5G with GPUs
Intel,92.02,54.08,2.59,"Iris, Xe",7,8,4,Energy Efficiency,"Data Center, Defense",Global market presence,Narrow product range,Released latest mobile GPU
Huawei,47.0,39.89,3.27,"Ascend AI, Kirin GPU",6,5,2,Quantum Computing,"Media & Entertainment, Gaming, Defense, Healthcare",Global market presence,Software compatibility issues,Partnered with automotive leaders
ASRock,58.74,59.93,35.36,"Phantom Gaming, X570 GPU",5,2,5,FPGA Optimization,"Financial Services, Media & Entertainment",Innovative R&D,Complex integration,Partnered with automotive leaders
NXP Semiconductors,114.04,10.23,18.64,"Layerscape, i.MX GPU",8,3,5,VR/AR,Data Center,Innovative R&D,Limited AI focus,Acquired Mellanox
ASRock,134.16,32.82,29.32,"X570 GPU, Phantom Gaming",2,9,3,High Performance Computing,Cloud,Innovative R&D,Limited mobile presence,Partnered with automotive leaders
Apple,53.48,30.51,29.67,"M2 GPU, M1 GPU",10,8,6,Ray Tracing,Data Center,Cutting-edge technology,High prices,Upgraded software development kits
Samsung,55.22,74.2,11.47,Exynos GPU,10,7,5,Mobile Graphics,"Mobile, Gaming",Diverse product applications,Late to market in some segments,Upgraded software development kits
Texas Instruments,155.3,32.66,3.99,"TMS320, DSP",4,4,4,Mobile Graphics,Telecommunications,Innovative R&D,Narrow product range,Released latest mobile GPU
Samsung,144.34,22.02,2.87,"RDNA, Exynos GPU",1,3,5,Edge Computing,"Healthcare, Enterprise, Cloud, IoT",Strong partnerships,Complex integration,Partnered with automotive leaders
ASRock,16.96,39.29,15.83,"Phantom Gaming, X570 GPU",5,6,10,Mobile Graphics,"Healthcare, Automotive, Mobile, IoT",Strong partnerships,Security vulnerabilities,Introduced AI-focused GPUs
Analog Devices,19.14,46.25,34.7,Blackfin,10,4,1,Edge Computing,"Healthcare, IoT",Advanced AI capabilities,Inconsistent performance,Launched new RTX 40 series
Broadcom,55.2,13.72,6.69,"VideoCore, StrataDNX",10,4,1,Neural Networks,"Cloud, IoT, Telecommunications",Competitive pricing,Late to market in some segments,Partnered with automotive leaders
